,TransactionID,TransactionDate,Amount,TransactionType,Location,Target_Label,HourofDay,DayofWeek,Is_Night_Transaction,Risk_Level,Flag_Suspicious,Location_Code
44,45,2024-06-14 14:43:35.463142,616.82,refund,Los Angeles,0,14,4,False,Low,0,LOS
45,46,2024-07-21 19:23:35.463147,2052.8,refund,Houston,0,19,6,False,Medium,0,HOU
46,47,2024-05-22 16:45:35.463153,4833.08,refund,Chicago,0,16,2,False,Critical,0,CHI
47,48,2024-09-25 13:03:35.463158,4652.12,purchase,San Diego,0,13,2,False,Low,0,SAN
48,49,2024-09-07 13:05:35.463164,2486.55,refund,Phoenix,0,13,5,False,Medium,0,PHO
49,50,2024-05-02 10:03:35.463171,3968.51,purchase,Philadelphia,0,10,3,False,Medium,0,PHI
50,51,2023-11-02 06:58:35.463175,29.32,refund,Chicago,0,6,3,False,Low,0,CHI
51,52,2024-01-17 02:02:35.463179,817.4,refund,Chicago,0,2,2,True,Low,0,CHI
52,53,2024-10-15 23:29:35.463182,1801.08,refund,San Jose,0,23,1,False,Low,0,SAN
53,54,2023-12-12 05:00:35.463186,740.67,purchase,San Antonio,0,5,1,True,Low,0,SAN
54,55,2024-10-03 12:01:35.463189,2700.55,purchase,New York,0,12,3,False,Medium,1,NEW
55,56,2024-02-28 19:04:35.463192,875.22,purchase,Houston,0,19,2,False,Low,0,HOU
56,57,2023-11-27 15:19:35.463196,3021.84,refund,San Diego,0,15,0,False,Medium,0,SAN
57,58,2024-08-02 04:48:35.463200,3558.8,purchase,Philadelphia,0,4,4,True,Medium,0,PHI
58,59,2023-12-27 13:45:35.463203,442.85,refund,Chicago,0,13,2,False,Low,0,CHI
59,60,2024-08-13 17:38:35.463206,3836.6,refund,Dallas,0,17,1,False,Medium,0,DAL
60,61,2024-05-14 17:17:35.463210,4707.89,refund,San Antonio,0,17,1,False,Critical,0,SAN
61,62,2024-06-26 05:38:35.463213,2069.71,purchase,New York,0,5,2,True,Medium,0,NEW
62,63,2024-09-28 15:35:35.463217,1022.13,refund,Phoenix,0,15,5,False,Low,0,PHO
63,64,2024-04-04 09:58:35.463220,3916.07,refund,San Jose,0,9,3,False,Medium,0,SAN
64,65,2024-01-13 13:20:35.463224,1977.93,refund,Dallas,0,13,5,False,Low,0,DAL
65,66,2024-06-05 01:51:35.463227,720.95,purchase,Houston,0,1,2,True,Low,0,HOU
66,67,2023-12-23 18:01:35.463231,1788.8,purchase,Philadelphia,0,18,5,False,Low,0,PHI
67,68,2024-02-13 02:09:35.463234,3448.81,refund,San Diego,0,2,1,True,Medium,0,SAN
68,69,2024-05-13 18:40:35.463237,3443.84,refund,Dallas,0,18,0,False,Medium,0,DAL
69,70,2024-01-02 23:54:35.463241,493.08,purchase,Los Angeles,0,23,1,False,Low,0,LOS
70,71,2024-03-09 14:03:35.463244,4372.58,refund,New York,0,14,5,False,Critical,1,NEW
71,72,2024-03-23 10:26:35.463247,235.06,purchase,New York,0,10,5,False,Low,0,NEW
72,73,2024-04-30 20:43:35.463251,1708.71,refund,San Diego,0,20,1,False,Low,0,SAN
73,74,2024-08-29 16:54:35.463254,3374.61,refund,New York,0,16,3,False,Medium,1,NEW
74,75,2024-10-12 14:17:35.463257,2298.56,refund,Philadelphia,0,14,5,False,Medium,0,PHI
75,76,2024-08-24 01:23:35.463260,2988.26,purchase,San Jose,0,1,5,True,Medium,0,SAN
76,77,2024-04-13 01:42:35.463264,2015.55,purchase,San Diego,0,1,5,True,Medium,0,SAN
77,78,2024-01-15 05:40:35.463268,1509.45,refund,Philadelphia,0,5,0,True,Low,0,PHI
78,79,2024-02-13 19:04:35.463274,4611.36,refund,Los Angeles,0,19,1,False,Critical,0,LOS
79,80,2024-01-10 23:52:35.463279,222.74,purchase,Los Angeles,0,23,2,False,Low,0,LOS
80,81,2024-09-20 09:25:35.463285,4298.25,refund,Philadelphia,0,9,4,False,Critical,0,PHI
81,82,2024-09-15 14:23:35.463291,1007.32,refund,Phoenix,0,14,6,False,Low,0,PHO
82,83,2024-09-09 14:50:35.463297,2166.21,purchase,New York,0,14,0,False,Medium,0,NEW
83,84,2024-10-19 22:34:35.463302,2522.34,purchase,Philadelphia,0,22,5,False,Medium,0,PHI
84,85,2023-11-05 09:17:35.463308,2282.71,purchase,Dallas,0,9,6,False,Medium,0,DAL
85,86,2024-05-09 07:11:35.463314,2377.94,purchase,Houston,0,7,3,False,Medium,0,HOU
86,87,2024-01-25 11:48:35.463320,1081.21,refund,Chicago,0,11,3,False,Low,0,CHI
87,88,2024-06-08 00:57:35.463327,4152.22,refund,San Antonio,0,0,5,True,Critical,0,SAN
88,89,2023-11-16 17:48:35.463332,3947.26,refund,Houston,0,17,3,False,Medium,1,HOU
89,90,2024-03-29 00:43:35.463338,1370.1,refund,Philadelphia,0,0,4,True,Low,0,PHI
90,91,2023-12-27 19:22:35.463344,4922.69,refund,New York,0,19,2,False,Critical,1,NEW
91,92,2024-01-07 10:11:35.463350,2356.42,purchase,New York,0,10,6,False,Medium,0,NEW
92,93,2024-08-05 03:56:35.463356,4527.03,purchase,Dallas,0,3,0,True,Low,0,DAL
93,94,2024-09-16 05:06:35.463363,2006.0,refund,San Antonio,0,5,0,True,Medium,0,SAN
94,95,2024-05-05 02:56:35.463368,1923.78,refund,New York,0,2,6,True,Low,0,NEW
95,96,2024-09-05 21:48:35.463374,1209.88,purchase,Philadelphia,0,21,3,False,Low,0,PHI
96,97,2024-07-31 06:21:35.463381,3558.24,refund,San Jose,0,6,2,False,Medium,0,SAN
97,98,2024-10-18 14:51:35.463387,923.88,purchase,San Jose,0,14,4,False,Low,0,SAN
98,99,2024-09-27 04:02:35.463392,4836.36,purchase,Chicago,0,4,4,True,Low,0,CHI
99,100,2024-07-20 10:12:35.463397,3396.1,purchase,Philadelphia,0,10,5,False,Medium,0,PHI
100,101,2024-07-15 12:29:35.463402,2522.38,refund,Chicago,0,12,0,False,Medium,0,CHI
101,102,2024-08-24 02:05:35.463408,433.94,purchase,Chicago,0,2,5,True,Low,0,CHI
102,103,2024-10-16 00:00:35.463414,4975.64,refund,Houston,0,0,2,True,Critical,1,HOU
103,104,2024-06-02 11:12:35.463419,772.43,refund,Dallas,0,11,6,False,Low,0,DAL
104,105,2024-06-25 23:59:35.463422,814.27,refund,New York,0,23,1,False,Low,0,NEW
105,106,2024-04-30 01:11:35.463425,3016.19,purchase,Los Angeles,0,1,1,True,Medium,0,LOS
106,107,2023-11-15 13:50:35.463429,639.68,refund,New York,0,13,2,False,Low,0,NEW
107,108,2024-09-27 14:43:35.463432,3593.48,purchase,San Diego,0,14,4,False,Medium,0,SAN
108,109,2024-03-06 20:36:35.463436,3593.2,refund,Los Angeles,0,20,2,False,Medium,0,LOS
109,110,2024-07-22 23:48:35.463440,785.79,refund,Phoenix,0,23,0,False,Low,0,PHO
110,111,2024-10-01 16:07:35.463443,1404.77,refund,San Jose,0,16,1,False,Low,0,SAN
111,112,2023-11-02 02:28:35.463447,388.09,purchase,San Diego,0,2,3,True,Low,0,SAN
112,113,2023-12-28 13:56:35.463451,4469.05,purchase,Chicago,0,13,3,False,Low,0,CHI
113,114,2024-08-10 14:35:35.463460,3084.23,refund,Phoenix,0,14,5,False,Medium,0,PHO
114,115,2023-11-22 06:40:35.463463,3268.77,refund,San Diego,0,6,2,False,Medium,0,SAN
115,116,2024-04-30 04:15:35.463467,4443.7,purchase,New York,0,4,1,True,Low,1,NEW
116,117,2024-08-16 14:57:35.463470,3773.79,purchase,San Jose,0,14,4,False,Medium,0,SAN
117,118,2024-02-01 12:46:35.463473,2525.84,purchase,San Diego,0,12,3,False,Medium,0,SAN
118,119,2024-06-13 20:41:35.463477,2827.55,purchase,San Diego,0,20,3,False,Medium,0,SAN
119,120,2024-03-05 00:53:35.463480,1019.46,refund,San Diego,0,0,1,True,Low,0,SAN
120,121,2024-03-28 06:56:35.463483,1476.27,refund,Los Angeles,0,6,3,False,Low,0,LOS
121,122,2024-09-22 19:20:35.463487,1871.58,purchase,Phoenix,0,19,6,False,Low,0,PHO
122,123,2024-09-05 14:29:35.463490,1290.73,refund,New York,0,14,3,False,Low,0,NEW
123,124,2024-06-05 02:51:35.463493,3904.09,purchase,Philadelphia,0,2,2,True,Medium,0,PHI
124,125,2024-09-30 15:20:35.463496,303.11,refund,Chicago,0,15,0,False,Low,0,CHI
125,126,2024-01-21 13:36:35.463500,1445.21,refund,San Jose,0,13,6,False,Low,0,SAN
126,127,2023-10-28 18:11:35.463503,2797.59,purchase,Los Angeles,0,18,5,False,Medium,0,LOS
127,128,2023-12-15 20:26:35.463507,4820.74,refund,San Jose,0,20,4,False,Critical,0,SAN
128,129,2024-05-22 02:20:35.463510,4676.86,purchase,Chicago,0,2,2,True,Low,0,CHI
129,130,2024-04-19 14:46:35.463514,2131.67,purchase,Dallas,0,14,4,False,Medium,0,DAL
130,131,2024-08-17 06:02:35.463517,4593.26,refund,San Jose,0,6,5,False,Critical,0,SAN
131,132,2024-05-15 13:00:35.463520,2964.31,purchase,San Antonio,0,13,2,False,Medium,0,SAN
132,133,2024-06-25 23:19:35.463524,4452.56,refund,Chicago,0,23,1,False,Critical,0,CHI
133,134,2024-03-01 22:24:35.463527,1064.75,purchase,New York,0,22,4,False,Low,0,NEW
134,135,2023-11-29 05:34:35.463530,1950.97,purchase,San Antonio,0,5,2,True,Low,0,SAN
135,136,2024-10-16 13:16:35.463534,3033.38,refund,San Diego,0,13,2,False,Medium,0,SAN
136,137,2024-01-03 07:07:35.463537,4579.91,purchase,Chicago,0,7,2,False,Low,0,CHI
137,138,2024-10-10 04:30:35.463541,4463.06,purchase,New York,0,4,3,True,Low,1,NEW
138,139,2024-03-15 12:09:35.463544,4824.21,refund,Phoenix,0,12,4,False,Critical,0,PHO
139,140,2023-11-12 00:24:35.463547,1606.55,refund,Phoenix,0,0,6,True,Low,0,PHO
140,141,2023-10-30 04:47:35.463551,3050.67,purchase,Philadelphia,0,4,0,True,Medium,0,PHI
141,142,2024-01-03 02:46:35.463554,3465.81,purchase,Dallas,0,2,2,True,Medium,0,DAL
142,143,2023-11-30 15:45:35.463557,1629.28,refund,Houston,0,15,3,False,Low,0,HOU
143,144,2024-01-24 05:45:35.463561,3806.2,refund,Houston,0,5,2,True,Medium,1,HOU
144,145,2024-03-21 03:03:35.463564,3506.76,refund,Phoenix,0,3,3,True,Medium,0,PHO
145,146,2024-03-15 03:48:35.463568,1893.07,purchase,Houston,0,3,4,True,Low,0,HOU
146,147,2024-01-24 03:05:35.463571,3022.31,refund,San Antonio,0,3,2,True,Medium,0,SAN
147,148,2024-09-09 12:14:35.463575,1649.57,purchase,San Antonio,0,12,0,False,Low,0,SAN
148,149,2023-12-07 16:31:35.463578,2735.8,purchase,San Diego,0,16,3,False,Medium,0,SAN
149,150,2024-08-16 10:21:35.463582,602.35,purchase,San Antonio,0,10,4,False,Low,0,SAN
150,151,2024-09-08 05:36:35.463585,3214.15,purchase,Los Angeles,0,5,6,True,Medium,0,LOS
151,152,2023-11-14 21:39:35.463588,3732.15,refund,Phoenix,0,21,1,False,Medium,0,PHO
152,153,2024-02-20 19:41:35.463592,1705.68,purchase,Chicago,0,19,1,False,Low,0,CHI
153,154,2023-12-04 17:22:35.463596,3354.2,purchase,Phoenix,0,17,0,False,Medium,0,PHO
154,155,2024-08-13 02:19:35.463599,1155.19,refund,Houston,0,2,1,True,Low,0,HOU
155,156,2024-03-19 14:07:35.463602,22.08,purchase,Philadelphia,0,14,1,False,Low,0,PHI
156,157,2023-10-23 01:11:35.463606,2545.43,refund,Houston,0,1,0,True,Medium,1,HOU
157,158,2024-04-08 02:01:35.463609,3173.84,purchase,Philadelphia,0,2,0,True,Medium,0,PHI
158,159,2024-07-06 15:17:35.463613,2458.68,refund,San Antonio,0,15,5,False,Medium,0,SAN
159,160,2024-05-23 12:10:35.463616,331.2,refund,San Jose,0,12,3,False,Low,0,SAN
160,161,2024-09-22 01:15:35.463620,3947.38,refund,San Jose,0,1,6,True,Medium,0,SAN
161,162,2024-06-12 09:27:35.463624,768.44,purchase,Phoenix,0,9,2,False,Low,0,PHO
162,163,2024-02-18 13:54:35.463629,3277.91,purchase,Philadelphia,0,13,6,False,Medium,0,PHI
163,164,2023-11-16 16:05:35.463632,4385.78,refund,San Jose,0,16,3,False,Critical,0,SAN
164,165,2023-11-26 07:21:35.463636,4195.53,refund,San Jose,0,7,6,False,Critical,0,SAN
165,166,2023-11-30 06:14:35.463639,2596.94,refund,San Diego,0,6,3,False,Medium,0,SAN
166,167,2024-04-01 20:00:35.463643,4411.72,refund,San Diego,0,20,0,False,Critical,0,SAN
167,168,2024-04-19 17:35:35.463646,1796.39,refund,New York,0,17,4,False,Low,0,NEW
168,169,2024-06-18 00:14:35.463649,1282.88,purchase,San Diego,0,0,1,True,Low,0,SAN
169,170,2024-07-25 02:21:35.463652,1812.72,purchase,San Antonio,0,2,3,True,Low,0,SAN
170,171,2024-09-01 16:23:35.463656,2105.09,refund,San Jose,0,16,6,False,Medium,0,SAN
171,172,2024-03-15 23:57:35.463659,180.77,refund,Phoenix,0,23,4,False,Low,0,PHO
172,173,2023-12-31 10:49:35.463662,68.85,purchase,Phoenix,0,10,6,False,Low,0,PHO
173,174,2024-05-13 20:59:35.463666,194.61,refund,San Diego,0,20,0,False,Low,0,SAN
174,175,2024-04-06 18:11:35.463669,4100.37,purchase,Los Angeles,0,18,5,False,Low,0,LOS
175,176,2023-12-30 20:56:35.463673,3246.92,refund,San Jose,0,20,5,False,Medium,0,SAN
176,177,2024-08-03 11:45:35.463676,3411.73,refund,Houston,0,11,5,False,Medium,1,HOU
177,178,2024-05-05 21:02:35.463679,3342.67,purchase,San Diego,0,21,6,False,Medium,0,SAN
178,179,2023-11-15 22:34:35.463696,620.53,purchase,Phoenix,0,22,2,False,Low,0,PHO
179,180,2024-01-01 08:29:35.463702,1986.08,refund,Phoenix,0,8,0,False,Low,0,PHO
180,181,2024-01-04 07:30:35.463711,3427.7,purchase,Los Angeles,0,7,3,False,Medium,0,LOS
181,182,2024-05-27 06:22:35.463717,4954.15,refund,Houston,0,6,0,False,Critical,1,HOU
182,183,2023-12-01 10:18:35.463721,2282.14,purchase,Los Angeles,0,10,4,False,Medium,0,LOS
183,184,2024-07-14 22:02:35.463724,1489.88,purchase,San Diego,0,22,6,False,Low,0,SAN
184,185,2024-02-24 05:51:35.463727,65.35,purchase,Dallas,0,5,5,True,Low,0,DAL
185,186,2024-07-20 08:52:35.463731,1919.7,refund,Dallas,0,8,5,False,Low,0,DAL
186,187,2024-04-17 20:34:35.463734,2189.78,refund,Chicago,0,20,2,False,Medium,0,CHI
187,188,2023-10-31 07:21:35.463738,3666.78,purchase,New York,0,7,1,False,Medium,1,NEW
188,189,2024-08-01 21:31:35.463741,4315.43,purchase,Philadelphia,0,21,3,False,Low,0,PHI
189,190,2024-07-21 08:33:35.463744,3651.59,refund,San Diego,0,8,6,False,Medium,0,SAN
190,191,2024-09-07 18:24:35.463748,1703.8,purchase,San Jose,1,18,5,False,Low,0,SAN
191,192,2024-04-27 01:48:35.463751,4248.1,purchase,San Jose,1,1,5,True,Low,0,SAN
192,193,2024-09-03 22:21:35.463754,1706.64,refund,San Antonio,0,22,1,False,Low,0,SAN
193,194,2024-09-30 05:04:35.463757,2444.96,purchase,New York,0,5,0,True,Medium,0,NEW
194,195,2024-09-30 05:27:35.463761,2945.76,purchase,Philadelphia,0,5,0,True,Medium,0,PHI
195,196,2024-08-12 21:19:35.463764,4971.31,purchase,Los Angeles,0,21,0,False,Low,0,LOS
196,197,2023-11-02 11:45:35.463767,2805.81,refund,Phoenix,0,11,3,False,Medium,0,PHO
197,198,2024-10-20 20:59:35.463771,4271.92,purchase,Houston,0,20,6,False,Low,1,HOU
198,199,2024-05-15 05:18:35.463774,3715.22,purchase,New York,0,5,2,True,Medium,1,NEW
199,200,2024-05-20 16:17:35.463777,4240.22,purchase,Dallas,0,16,0,False,Low,0,DAL
200,201,2024-03-07 02:21:35.463781,582.83,refund,Los Angeles,0,2,3,True,Low,0,LOS
201,202,2024-06-27 22:53:35.463786,38.88,purchase,Chicago,0,22,3,False,Low,0,CHI
202,203,2023-11-18 08:07:35.463792,4906.35,refund,San Antonio,0,8,5,False,Critical,0,SAN
203,204,2024-01-02 16:20:35.463798,372.55,purchase,New York,0,16,1,False,Low,0,NEW
204,205,2024-10-20 16:20:35.463803,1650.68,refund,Los Angeles,0,16,6,False,Low,0,LOS
205,206,2024-04-02 12:58:35.463809,300.25,refund,Dallas,0,12,1,False,Low,0,DAL
206,207,2024-04-26 22:17:35.463815,967.46,purchase,Dallas,0,22,4,False,Low,0,DAL
207,208,2024-04-18 20:52:35.463820,2051.75,purchase,Chicago,0,20,3,False,Medium,0,CHI
208,209,2023-11-05 01:05:35.463826,1641.32,purchase,San Jose,1,1,6,True,Low,0,SAN
209,210,2023-11-07 09:05:35.463833,407.51,refund,Chicago,0,9,1,False,Low,0,CHI
210,211,2024-03-01 22:27:35.463839,2960.27,purchase,San Jose,0,22,4,False,Medium,0,SAN
211,212,2023-11-06 08:20:35.463845,3128.51,refund,Dallas,0,8,0,False,Medium,0,DAL
212,213,2024-01-06 10:46:35.463852,1463.83,refund,Los Angeles,0,10,5,False,Low,0,LOS
213,214,2024-04-24 08:54:35.463858,2587.29,refund,Houston,0,8,2,False,Medium,1,HOU
214,215,2024-04-15 19:12:35.463864,165.69,refund,Chicago,0,19,0,False,Low,0,CHI
215,216,2024-08-26 10:10:35.463871,1408.59,refund,San Jose,0,10,0,False,Low,0,SAN
216,217,2024-02-18 02:37:35.463876,4398.94,refund,Chicago,0,2,6,True,Critical,0,CHI
217,218,2024-03-20 05:29:35.463882,3365.82,purchase,San Diego,0,5,2,True,Medium,0,SAN
218,219,2024-07-03 13:57:35.463887,547.72,purchase,Philadelphia,0,13,2,False,Low,0,PHI
219,220,2023-11-24 16:25:35.463893,3403.92,purchase,San Diego,0,16,4,False,Medium,0,SAN
220,221,2024-01-25 00:58:35.463898,4160.09,purchase,Houston,0,0,3,True,Low,1,HOU
221,222,2024-05-04 01:51:35.463904,3146.9,purchase,Los Angeles,0,1,5,True,Medium,0,LOS
222,223,2024-05-25 00:28:35.463910,4778.31,refund,Chicago,0,0,5,True,Critical,0,CHI
223,224,2024-02-18 01:07:35.463916,2890.29,refund,Chicago,0,1,6,True,Medium,0,CHI
224,225,2024-03-15 05:37:35.463923,4230.17,purchase,San Antonio,0,5,4,True,Low,0,SAN
225,226,2024-06-18 00:42:35.463928,3387.78,refund,San Jose,0,0,1,True,Medium,0,SAN
226,227,2023-12-09 02:26:35.463931,2837.46,refund,San Antonio,0,2,5,True,Medium,0,SAN
227,228,2024-07-13 21:22:35.463934,1956.96,purchase,Phoenix,0,21,5,False,Low,0,PHO
228,229,2023-11-15 06:09:35.463937,2798.04,refund,San Jose,0,6,2,False,Medium,0,SAN
229,230,2024-03-30 09:12:35.463941,1774.01,purchase,Phoenix,0,9,5,False,Low,0,PHO
230,231,2024-01-15 21:08:35.463944,1232.42,refund,New York,0,21,0,False,Low,0,NEW
231,232,2024-05-08 00:34:35.463948,473.7,refund,San Jose,0,0,2,True,Low,0,SAN
232,233,2024-10-17 10:02:35.463951,1265.07,purchase,Dallas,0,10,3,False,Low,0,DAL
233,234,2024-07-31 14:59:35.463955,3726.83,refund,Houston,0,14,2,False,Medium,1,HOU
234,235,2024-05-02 18:43:35.463958,1650.29,refund,San Diego,0,18,3,False,Low,0,SAN
235,236,2024-10-06 08:52:35.463962,4125.33,refund,San Antonio,0,8,6,False,Critical,0,SAN
236,237,2024-04-04 16:00:35.463965,3506.49,purchase,New York,0,16,3,False,Medium,1,NEW
237,238,2024-07-10 14:26:35.463968,604.3,refund,Philadelphia,0,14,2,False,Low,0,PHI
238,239,2023-12-27 07:46:35.463971,984.71,purchase,Dallas,0,7,2,False,Low,0,DAL
239,240,2024-10-15 05:11:35.463975,4541.36,purchase,Phoenix,0,5,1,True,Low,0,PHO
240,241,2024-09-16 15:16:35.463978,4127.8,refund,San Jose,0,15,0,False,Critical,0,SAN
241,242,2024-08-09 22:53:35.463981,1074.36,purchase,Phoenix,0,22,4,False,Low,0,PHO
242,243,2024-08-08 20:58:35.463984,3305.73,purchase,Philadelphia,0,20,3,False,Medium,0,PHI
243,244,2023-11-19 14:56:35.463988,2790.95,purchase,San Diego,0,14,6,False,Medium,0,SAN
244,245,2024-07-19 17:36:35.463991,3145.56,purchase,New York,0,17,4,False,Medium,1,NEW
245,246,2023-11-20 20:44:35.463996,4116.82,refund,Philadelphia,0,20,0,False,Critical,0,PHI
246,247,2024-02-05 00:23:35.464002,670.64,purchase,Los Angeles,0,0,0,True,Low,0,LOS
247,248,2024-01-25 20:28:35.464008,1417.05,purchase,Houston,0,20,3,False,Low,0,HOU
248,249,2023-12-22 02:45:35.464014,3699.99,refund,New York,0,2,4,True,Medium,1,NEW
249,250,2024-10-06 11:08:35.464019,1805.95,refund,Los Angeles,0,11,6,False,Low,0,LOS
250,251,2024-08-24 12:38:35.464025,2003.64,refund,San Diego,0,12,5,False,Medium,0,SAN
251,252,2024-01-03 19:13:35.464031,338.18,purchase,San Jose,0,19,2,False,Low,0,SAN
252,253,2024-10-04 23:36:35.464037,3069.16,refund,New York,0,23,4,False,Medium,1,NEW
253,254,2024-07-28 00:49:35.464042,1809.94,refund,San Jose,0,0,6,True,Low,0,SAN
254,255,2023-12-19 14:18:35.464048,3660.29,purchase,Philadelphia,0,14,1,False,Medium,0,PHI
255,256,2023-11-10 13:06:35.464054,4228.23,purchase,San Jose,0,13,4,False,Low,0,SAN
256,257,2024-05-19 07:54:35.464060,996.58,purchase,Los Angeles,0,7,6,False,Low,0,LOS
257,258,2024-07-28 22:43:35.464065,979.4,purchase,Chicago,0,22,6,False,Low,0,CHI
258,259,2024-06-12 11:38:35.464068,4310.64,refund,Chicago,0,11,2,False,Critical,0,CHI
259,260,2024-06-28 20:22:35.464072,1841.08,refund,Houston,0,20,4,False,Low,0,HOU
260,261,2024-07-18 02:51:35.464075,965.29,refund,San Jose,0,2,3,True,Low,0,SAN
261,262,2024-06-14 13:44:35.464079,2347.86,purchase,Chicago,0,13,4,False,Medium,0,CHI
262,263,2023-12-05 08:58:35.464083,1289.36,refund,New York,0,8,1,False,Low,0,NEW
263,264,2024-02-20 21:38:35.464086,1176.73,refund,Chicago,0,21,1,False,Low,0,CHI
264,265,2024-04-29 06:58:35.464090,3503.11,refund,Chicago,0,6,0,False,Medium,0,CHI
265,266,2023-11-04 17:30:35.464093,1730.85,refund,San Jose,0,17,5,False,Low,0,SAN
266,267,2024-07-23 19:55:35.464096,4429.98,refund,Phoenix,0,19,1,False,Critical,0,PHO
267,268,2024-06-26 09:12:35.464100,565.41,refund,Dallas,0,9,2,False,Low,0,DAL
268,269,2024-09-09 19:01:35.464103,704.9,refund,Dallas,0,19,0,False,Low,0,DAL
269,270,2023-12-18 07:48:35.464107,1544.68,purchase,Los Angeles,0,7,0,False,Low,0,LOS
270,271,2024-02-04 18:52:35.464110,732.16,refund,San Diego,0,18,6,False,Low,0,SAN
